GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Component Manager,org.entando.kubernetes.exception.http,HttpBadRequestException,2,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.exception.http,HttpNotFoundException,0,2,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.bundle,BundleProperty,48,0,0,0,8,0,3,0,3,0
Entando Component Manager,org.entando.kubernetes.model.bundle,ZipReader,307,0,14,0,47,0,24,0,17,0
Entando Component Manager,org.entando.kubernetes.model.bundle,NpmBundleReader,481,0,26,0,83,0,36,0,23,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterOperator,107,0,4,0,15,0,6,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,RestListRequest,3,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterUtils,352,0,48,0,74,0,45,0,17,0
Entando Component Manager,org.entando.kubernetes.model.web.request,Filter,340,0,56,0,14,0,48,0,20,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType,96,0,4,0,14,0,6,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,RequestListProcessor,143,0,28,0,30,0,21,0,7,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},10,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},9,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},11,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},12,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,PagedListRequest,362,0,56,0,33,0,47,0,19,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,OAuthIdpTokenResponseDTO,87,0,0,0,38,0,25,0,25,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,48,3,2,0,8,1,5,1,4,1
Entando Component Manager,org.entando.kubernetes.security.oauth2,AudienceValidator,42,0,4,0,8,0,4,0,2,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,AuthorizationHeaderUtil,318,13,18,0,71,5,15,1,6,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,DigitalExchangeNotFoundException,5,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,InvalidBundleException,25,0,0,0,11,0,6,0,6,0
Entando Component Manager,org.entando.kubernetes.service.digitalexchange.entandocore,EntandoDefaultOAuth2RequestAuthenticator,24,3,2,0,5,1,2,1,1,1
Entando Component Manager,org.entando.kubernetes.service.digitalexchange.entandocore,EntandoCoreService,427,40,0,0,38,11,16,1,16,1
